2,9.200000,4.800000
4,16.200000,14.000000
8,30.200000,53.600000
16,56.200000,182.800000
32,115.600000,782.000000
64,226.600000,3118.600000
128,447.800000,12002.000000
256,903.800000,50305.000000
512,1807.800000,200964.800000
1024,3593.400000,789832.000000
2048,7185.200000,3175102.600000
4096,14346.000000,12591860.400000
8192,28696.400000,50495155.000000
16384,57335.400000,201158548.400000
32768,114679.200000,805699603.200000
65536,229467.600000,3224056432.000000
131072,458705.400000,12882819611.799999
262144,917436.400000,51521863499.199997
524288,1834957.400000,206144820050.399994
1048576,3670482.200000,824815857548.199951
